site_no,datetime,tz_cd,Discharge(cfs),Gage_Height(feet),location_name,latitude,longitude
8074500,8/23/17 0:00,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 0:15,CDT,49.4,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 0:30,CDT,48.7,7.88,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 0:45,CDT,50,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 1:00,CDT,49.4,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 1:15,CDT,50,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 1:30,CDT,50,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 1:45,CDT,51.3,7.92,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 2:00,CDT,50.7,7.91,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 2:15,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 2:30,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 2:45,CDT,51.3,7.92,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 3:00,CDT,51.3,7.92,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 3:15,CDT,50.7,7.91,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 3:30,CDT,50,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 3:45,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 4:00,CDT,48.7,7.88,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 4:15,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 4:30,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 4:45,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 5:00,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 5:15,CDT,46.2,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 5:30,CDT,45.6,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 5:45,CDT,45,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 6:00,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 6:15,CDT,43.9,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 6:30,CDT,43.9,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 6:45,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 7:00,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 7:15,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 7:30,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 7:45,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 8:00,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 8:15,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 8:30,CDT,43.9,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 8:45,CDT,42.7,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 9:00,CDT,42.7,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 9:15,CDT,43.9,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 9:30,CDT,43.3,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 9:45,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 10:00,CDT,43.9,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 10:15,CDT,45,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 10:30,CDT,45,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 10:45,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 11:00,CDT,46.2,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 11:15,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 11:30,CDT,46.2,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 11:45,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 12:00,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 12:15,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 12:30,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 12:45,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 13:00,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 13:15,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 13:30,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 13:45,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 14:00,CDT,41.6,7.76,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 14:15,CDT,40.6,7.74,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 14:30,CDT,40.2,7.73,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 14:45,CDT,41,7.75,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 15:00,CDT,45,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 15:15,CDT,44.4,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 15:30,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 15:45,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 16:00,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 16:15,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 16:30,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 16:45,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 17:00,CDT,48.7,7.88,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 17:15,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 17:30,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 17:45,CDT,47.5,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 18:00,CDT,49.4,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 18:15,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 18:30,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 18:45,CDT,53.4,7.95,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 19:00,CDT,54.1,7.96,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 19:15,CDT,55.5,7.98,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 19:30,CDT,54.8,7.97,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 19:45,CDT,55.5,7.98,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 20:00,CDT,57,8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 20:15,CDT,58.8,8.02,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 20:30,CDT,55.5,7.98,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 20:45,CDT,56.3,7.99,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 21:00,CDT,57,8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 21:15,CDT,57,8,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 21:30,CDT,55.5,7.98,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 21:45,CDT,54.8,7.97,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 22:00,CDT,55.5,7.98,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 22:15,CDT,54.1,7.96,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 22:30,CDT,53.4,7.95,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 22:45,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 23:00,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 23:15,CDT,53.4,7.95,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 23:30,CDT,53.4,7.95,WhiteoakBayou,29.775,-95.396944
8074500,8/23/17 23:45,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 0:00,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 0:15,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 0:30,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 0:45,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 1:00,CDT,52,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 1:15,CDT,54.1,7.96,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 1:30,CDT,53.4,7.95,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 1:45,CDT,50.7,7.91,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 2:00,CDT,52.7,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 2:15,CDT,50.7,7.91,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 2:30,CDT,51.4,7.92,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 2:45,CDT,49.4,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 3:00,CDT,49.4,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 3:15,CDT,48.8,7.88,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 3:30,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 3:45,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 4:00,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 4:15,CDT,60.7,8.04,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 4:30,CDT,78.8,8.22,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 4:45,CDT,82.2,8.25,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 5:00,CDT,85.8,8.28,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 5:15,CDT,85.8,8.28,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 5:30,CDT,74.5,8.18,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 5:45,CDT,59.8,8.03,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 6:00,CDT,55,7.97,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 6:15,CDT,52.2,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 6:30,CDT,50.9,7.91,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 6:45,CDT,50.2,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 7:00,CDT,52.9,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 7:15,CDT,52.9,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 7:30,CDT,52.9,7.94,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 7:45,CDT,50.2,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 8:00,CDT,50.2,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 8:15,CDT,50.3,7.9,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 8:30,CDT,49,7.88,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 8:45,CDT,49.6,7.89,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 9:00,CDT,48.4,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 9:15,CDT,47.1,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 9:30,CDT,45.9,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 9:45,CDT,45.3,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 10:00,CDT,44.7,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 10:15,CDT,44.7,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 10:30,CDT,44.8,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 10:45,CDT,43,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 11:00,CDT,43,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 11:15,CDT,43,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 11:30,CDT,47.2,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 11:45,CDT,57.5,8,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 12:00,CDT,58.4,8.01,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 12:15,CDT,52.4,7.93,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 12:30,CDT,46,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 12:45,CDT,46.6,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 13:00,CDT,46.7,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 13:15,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 13:30,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 13:45,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 14:00,CDT,46.7,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 14:15,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 14:30,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 14:45,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 15:00,CDT,47.3,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 15:15,CDT,44.9,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 15:30,CDT,45.5,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 15:45,CDT,43.8,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 16:00,CDT,45.6,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 16:15,CDT,47.4,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 16:30,CDT,47.4,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 16:45,CDT,48,7.86,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 17:00,CDT,47.4,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 17:15,CDT,47.4,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 17:30,CDT,46.8,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 17:45,CDT,45.6,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 18:00,CDT,44.4,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 18:15,CDT,43.3,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 18:30,CDT,43.3,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 18:45,CDT,42.7,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 19:00,CDT,41.6,7.75,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 19:15,CDT,42.2,7.76,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 19:30,CDT,42.2,7.76,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 19:45,CDT,42.8,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 20:00,CDT,41.6,7.75,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 20:15,CDT,42.8,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 20:30,CDT,42.8,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 20:45,CDT,43.4,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 21:00,CDT,45.1,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 21:15,CDT,46.4,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 21:30,CDT,45.8,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 21:45,CDT,45.2,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 22:00,CDT,46.4,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 22:15,CDT,45.2,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 22:30,CDT,45.8,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 22:45,CDT,45.2,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 23:00,CDT,44.6,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 23:15,CDT,45.8,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 23:30,CDT,45.8,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/24/17 23:45,CDT,45.3,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 0:00,CDT,46.5,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 0:15,CDT,47.7,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 0:30,CDT,49,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 0:45,CDT,47.7,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 1:00,CDT,46.5,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 1:15,CDT,47.7,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 1:30,CDT,47.1,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 1:45,CDT,47.8,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 2:00,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 2:15,CDT,46.9,7.85,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 2:30,CDT,48.1,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 2:45,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 3:00,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 3:15,CDT,48.2,7.87,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 3:30,CDT,46.4,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 3:45,CDT,46.4,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 4:00,CDT,46.4,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 4:15,CDT,46.5,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 4:30,CDT,46.5,7.84,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 4:45,CDT,44.7,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 5:00,CDT,45.3,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 5:15,CDT,46,7.83,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 5:30,CDT,44.8,7.81,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 5:45,CDT,45.4,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 6:00,CDT,43.7,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 6:15,CDT,43.1,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 6:30,CDT,45.5,7.82,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 6:45,CDT,42.6,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 7:00,CDT,43.8,7.79,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 7:15,CDT,42.6,7.77,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 7:30,CDT,43.2,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 7:45,CDT,43.3,7.78,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 8:00,CDT,44.4,7.8,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 8:15,CDT,54.9,7.96,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 8:30,CDT,67.3,8.1,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 8:45,CDT,80,8.22,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 9:00,CDT,93.1,8.32,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 9:15,CDT,105,8.39,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 9:30,CDT,119,8.45,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 9:45,CDT,122,8.46,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 10:00,CDT,134,8.53,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 10:15,CDT,138,8.55,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 10:30,CDT,159,8.67,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 10:45,CDT,166,8.72,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 11:00,CDT,181,8.83,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 11:15,CDT,177,8.8,WhiteoakBayou,29.775,-95.396944
8074500,8/25/17 11:30,CDT,184,8.85,WhiteoakBayou,29.775,-95.396944
